epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.4112,1.24257,1.58751,1.14105,0.74174,0.5269,0.58479,0.42986,1.10711,0.90585,1.06279,0.000275791,0.000275791,0.000275791
2,49.0708,1.14596,0.93003,1.06196,0.79379,0.58766,0.61014,0.42915,1.13667,0.93395,1.08896,0.000542499,0.000542499,0.000542499
3,72.3773,1.13182,0.87485,1.06405,0.67984,0.65984,0.71887,0.5041,1.10018,0.95337,1.06067,0.000798211,0.000798211,0.000798211
4,95.5394,1.10485,0.83484,1.04673,0.69192,0.78271,0.75883,0.53966,1.10561,0.83931,1.05903,0.00078352,0.00078352,0.00078352
5,118.73,1.08722,0.79823,1.03896,0.73978,0.77859,0.80297,0.57832,1.06391,0.74974,1.042,0.000767026,0.000767026,0.000767026
6,141.854,1.07792,0.76116,1.03236,0.83112,0.76958,0.83139,0.6093,1.06612,0.72803,1.03771,0.000750533,0.000750533,0.000750533
7,165.039,1.05529,0.7448,1.02412,0.6841,0.77978,0.75736,0.548,1.0691,0.76424,1.04351,0.00073404,0.00073404,0.00073404
8,188.232,1.04934,0.74461,1.02041,0.82697,0.7401,0.82222,0.61796,1.0413,0.69866,1.02512,0.000717546,0.000717546,0.000717546
9,211.446,1.03754,0.72187,1.01683,0.73,0.81252,0.83009,0.62149,1.03105,0.68224,1.03097,0.000701053,0.000701053,0.000701053
10,234.605,1.02507,0.69771,1.01462,0.80623,0.76876,0.8376,0.62925,1.0305,0.67229,1.02034,0.000684559,0.000684559,0.000684559
11,257.842,1.01892,0.6948,1.00709,0.79983,0.81994,0.82864,0.61868,1.01741,0.67711,1.01187,0.000668066,0.000668066,0.000668066
12,281.009,1.00832,0.69024,1.00776,0.75995,0.81679,0.8367,0.62999,1.02121,0.662,1.01463,0.000651573,0.000651573,0.000651573
13,304.186,1.00182,0.67241,0.99908,0.82992,0.81358,0.85839,0.63657,1.02504,0.66618,1.02602,0.000635079,0.000635079,0.000635079
14,327.44,0.98842,0.66124,0.99936,0.80928,0.81776,0.851,0.65201,1.02854,0.67145,1.01441,0.000618586,0.000618586,0.000618586
15,350.692,0.97891,0.65477,0.99537,0.73715,0.85782,0.86265,0.66025,1.00646,0.63207,1.01154,0.000602092,0.000602092,0.000602092
16,374.005,0.97792,0.64499,0.99158,0.8185,0.80696,0.87646,0.67732,0.99062,0.64711,1.00825,0.000585599,0.000585599,0.000585599
17,397.185,0.97086,0.64575,0.98891,0.8338,0.81374,0.8823,0.68228,0.99741,0.62237,1.0064,0.000569106,0.000569106,0.000569106
18,420.353,0.9709,0.63988,0.98444,0.82789,0.8576,0.89276,0.68608,0.98962,0.63399,1.00417,0.000552612,0.000552612,0.000552612
19,443.483,0.96422,0.63655,0.98304,0.80571,0.85733,0.8881,0.68863,0.98602,0.61345,1.00442,0.000536119,0.000536119,0.000536119
20,466.638,0.95484,0.61946,0.9818,0.83541,0.83659,0.8986,0.68027,0.9931,0.62492,1.00631,0.000519625,0.000519625,0.000519625
21,489.783,0.95166,0.6175,0.97829,0.8463,0.81422,0.88942,0.69572,0.96894,0.60506,0.99888,0.000503132,0.000503132,0.000503132
22,512.934,0.94157,0.61037,0.97632,0.80492,0.85509,0.8754,0.67564,0.97799,0.61118,1.00388,0.000486639,0.000486639,0.000486639
23,536.103,0.93563,0.60536,0.97609,0.82512,0.83283,0.87705,0.68539,0.98121,0.62852,1.0005,0.000470145,0.000470145,0.000470145
24,559.266,0.93323,0.60454,0.97252,0.88237,0.80713,0.89918,0.70834,0.96815,0.60352,0.9948,0.000453652,0.000453652,0.000453652
25,582.401,0.92739,0.59375,0.97324,0.82165,0.85412,0.88917,0.69457,0.9785,0.6071,1.00088,0.000437158,0.000437158,0.000437158
26,605.546,0.9146,0.58518,0.96519,0.8499,0.83017,0.87698,0.69355,0.96269,0.60218,0.99428,0.000420665,0.000420665,0.000420665
27,628.66,0.91314,0.58583,0.96568,0.84075,0.83723,0.8872,0.70811,0.96707,0.59433,0.99658,0.000404172,0.000404172,0.000404172
28,651.757,0.91698,0.58667,0.96657,0.80603,0.85537,0.88995,0.69309,0.95528,0.59178,0.98876,0.000387678,0.000387678,0.000387678
29,674.904,0.90544,0.5687,0.96318,0.84484,0.85219,0.90398,0.71016,0.96742,0.58215,0.99974,0.000371185,0.000371185,0.000371185
30,698.095,0.9058,0.56832,0.96406,0.84706,0.82393,0.89009,0.692,0.95921,0.60017,0.99268,0.000354691,0.000354691,0.000354691
31,721.277,0.89791,0.56104,0.96091,0.81008,0.86617,0.89158,0.70148,0.97123,0.60127,1.00163,0.000338198,0.000338198,0.000338198
32,744.396,0.89134,0.5627,0.95659,0.84978,0.87058,0.90348,0.72444,0.95547,0.58188,0.99353,0.000321705,0.000321705,0.000321705
33,767.515,0.88897,0.55786,0.95746,0.84949,0.82504,0.89664,0.70901,0.96463,0.5884,0.99942,0.000305211,0.000305211,0.000305211
34,790.674,0.87723,0.54231,0.95564,0.75895,0.89384,0.88684,0.71089,0.96147,0.5785,0.99603,0.000288718,0.000288718,0.000288718
35,813.742,0.87557,0.53689,0.9515,0.82535,0.87694,0.89425,0.71755,0.95367,0.57282,0.98996,0.000272224,0.000272224,0.000272224
36,836.815,0.87683,0.54227,0.94819,0.81591,0.87231,0.89956,0.71623,0.96026,0.57242,0.99022,0.000255731,0.000255731,0.000255731
37,859.925,0.87045,0.53477,0.94782,0.81633,0.87808,0.88886,0.71544,0.95508,0.58363,0.99041,0.000239238,0.000239238,0.000239238
38,883.033,0.86518,0.53212,0.94663,0.84564,0.86989,0.90319,0.72108,0.94968,0.57065,0.99032,0.000222744,0.000222744,0.000222744
39,906.091,0.85928,0.52583,0.94527,0.8276,0.87014,0.89439,0.7182,0.94901,0.57377,0.99055,0.000206251,0.000206251,0.000206251
40,929.173,0.84925,0.52476,0.94069,0.87885,0.84759,0.90182,0.7239,0.9412,0.56511,0.98729,0.000189757,0.000189757,0.000189757
41,952.641,0.84247,0.50167,0.94337,0.86278,0.85774,0.90108,0.72207,0.96129,0.57257,0.99596,0.000173264,0.000173264,0.000173264
42,975.561,0.83324,0.49156,0.94236,0.8411,0.85723,0.90199,0.7251,0.94962,0.57024,0.99234,0.000156771,0.000156771,0.000156771
43,998.502,0.82322,0.48413,0.93685,0.84011,0.87548,0.90334,0.72934,0.94648,0.56172,0.99138,0.000140277,0.000140277,0.000140277
44,1021.48,0.81837,0.47987,0.93544,0.83714,0.86512,0.90231,0.72868,0.94326,0.56389,0.98932,0.000123784,0.000123784,0.000123784
45,1044.4,0.81229,0.47242,0.93224,0.83288,0.84817,0.89832,0.72361,0.95174,0.56446,0.99414,0.00010729,0.00010729,0.00010729
46,1067.29,0.80593,0.46825,0.93094,0.84397,0.86653,0.89988,0.72587,0.94755,0.55994,0.99226,9.0797e-05,9.0797e-05,9.0797e-05
47,1090.2,0.79987,0.46097,0.92467,0.86051,0.86131,0.9047,0.73378,0.94756,0.55705,0.9918,7.43036e-05,7.43036e-05,7.43036e-05
48,1113.14,0.79156,0.4566,0.92272,0.85513,0.86198,0.90525,0.73088,0.94275,0.55416,0.98955,5.78102e-05,5.78102e-05,5.78102e-05
49,1136,0.7932,0.45297,0.92253,0.85509,0.86644,0.90394,0.73044,0.94423,0.55379,0.99064,4.13168e-05,4.13168e-05,4.13168e-05
50,1158.84,0.78422,0.44942,0.92303,0.85025,0.87274,0.90307,0.72839,0.94245,0.55159,0.98916,2.48234e-05,2.48234e-05,2.48234e-05
